Designator,Mid X,Mid Y,Layer,Rotation
ANT1,112.0000mm,-103.8000mm,Top,0
C1,110.0000mm,-118.0000mm,Top,90
C2,110.0000mm,-121.0000mm,Top,90
C3,110.0000mm,-124.0000mm,Top,90
C4,110.0000mm,-127.0000mm,Top,90
C5,110.0000mm,-130.0000mm,Top,90
C6,125.4000mm,-128.0000mm,Top,90
C7,125.4000mm,-124.0000mm,Top,90
C8,114.0000mm,-141.0000mm,Top,90
C9,113.5000mm,-133.0000mm,Top,90
C10,122.5000mm,-133.0000mm,Top,90
C11,118.0000mm,-138.0000mm,Top,90
C12,125.4000mm,-138.0000mm,Top,90
C13,124.5000mm,-146.0000mm,Top,90
C14,105.0000mm,-146.0000mm,Top,90
C15,114.0000mm,-137.0000mm,Top,90
C16,109.6000mm,-146.0000mm,Top,90
C17,112.0000mm,-113.5000mm,Top,90
C18,112.0000mm,-107.5000mm,Top,90
D1,118.0000mm,-145.0000mm,Top,0
D2,116.0000mm,-112.5000mm,Top,0
F1,108.0000mm,-143.0000mm,Top,0
J1,134.2000mm,-111.0000mm,Top,0
J2,101.8000mm,-111.0000mm,Top,0
J4,120.0000mm,-103.5000mm,Top,0
J5,127.5000mm,-103.0000mm,Top,0
J6,126.5000mm,-109.5000mm,Top,0
L1,112.0000mm,-110.5000mm,Top,90
P1,118.0000mm,-152.6000mm,Top,0
R1,107.3000mm,-146.0000mm,Top,90
R2,122.2000mm,-112.6000mm,Top,90
R3,122.2000mm,-116.6000mm,Top,90
R4,112.4000mm,-144.5000mm,Top,90
R5,127.0000mm,-146.0000mm,Top,90
R6,119.5000mm,-112.5000mm,Top,0
R7,129.5000mm,-146.0000mm,Top,90
SW1,106.5000mm,-153.5000mm,Top,0
SW2,128.8000mm,-153.0000mm,Top,0
U1,118.0000mm,-124.0000mm,Top,0
U2,108.0000mm,-138.0000mm,Top,0
Y1,122.0000mm,-138.0000mm,Top,90
Y2,118.0000mm,-133.0000mm,Top,0
